value,type,confidence,context,source,url
CFAKE.com,Domain,High,Domain seized under the TAKE IT DOWN Act,BleepingComputer,https://www.bleepingcomputer.com/news/security/doj-seizes-cfake-socfake-deepfake-nude-sites-under-take-it-down-act/
SOCFAKE.com,Domain,High,Domain seized under the TAKE IT DOWN Act,BleepingComputer,https://www.bleepingcomputer.com/news/security/doj-seizes-cfake-socfake-deepfake-nude-sites-under-take-it-down-act/
REDCap,Domain,High,The threat group exploited externally facing REDCap servers.,CyberScoop,https://cyberscoop.com/google-unc6508-china-espionage-threat/
INFINITERED,URL,High,Custom backdoor deployed by UNC6508.,CyberScoop,https://cyberscoop.com/google-unc6508-china-espionage-threat/
CVE-2026-48558,CVE,High,Vulnerability in SimpleHelp remote management software,BleepingComputer,https://www.bleepingcomputer.com/news/security/simplehelp-bug-lets-hackers-create-rogue-remote-support-accounts/
5.5.15,URL,High,Vulnerable SimpleHelp version,BleepingComputer,https://www.bleepingcomputer.com/news/security/simplehelp-bug-lets-hackers-create-rogue-remote-support-accounts/
6.0 pre-release,URL,High,Vulnerable SimpleHelp version,BleepingComputer,https://www.bleepingcomputer.com/news/security/simplehelp-bug-lets-hackers-create-rogue-remote-support-accounts/
https://shodan.io/search?query=SimpleHelp,URL,Medium,Shodan search query for exposed SimpleHelp servers,BleepingComputer,https://www.bleepingcomputer.com/news/security/simplehelp-bug-lets-hackers-create-rogue-remote-support-accounts/
/opt/SimpleHelp/logs/server.log,Filename,High,Log file containing technician registrations and configuration changes,BleepingComputer,https://www.bleepingcomputer.com/news/security/simplehelp-bug-lets-hackers-create-rogue-remote-support-accounts/
/opt/SimpleHelp/logs/<YYYYMMDD-HHMMSS>/server.log,Filename,High,Log file containing technician registrations and configuration changes,BleepingComputer,https://www.bleepingcomputer.com/news/security/simplehelp-bug-lets-hackers-create-rogue-remote-support-accounts/
REDCap,Filename,High,The compromised platform used by the attackers to gain initial access.,The Hacker News,https://thehackernews.com/2026/06/chinese-hackers-abused-google-workspace.html
INFINITERED,Filename,High,The custom malware deployed by UNC6508.,The Hacker News,https://thehackernews.com/2026/06/chinese-hackers-abused-google-workspace.html
