value,type,context,source,url,published_date
/client/{sType},URL,Original download path for InvisibleFerret (main) in previous samples,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
/clw/{sType},URL,Download path for InvisibleFerret in current campaign; Windows-based C2 communication path for InvisibleFerret; Dynamic C2 communication path for Windows; C2 communication path for Windows-based InvisibleFerret,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
/clw1/{sType},URL,Download path for non-Windows InvisibleFerret payloads; Non-Windows-based C2 communication path for InvisibleFerret; Dynamic C2 communication path for non-Windows; C2 communication path for non-Windows-based InvisibleFerret,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
main_{sType}.py,Filename,Saved filename for previously observed InvisibleFerret (main) payloads,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
.mod,Filename,Execution file created by BeaverTail to run Cython-compiled payloads; Python script created and executed by BeaverTail to load Cython binaries,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
.pyd,Filename,Cython-compiled Windows payload distribution format,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
.so,Filename,Cython-compiled macOS payload distribution format,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
mod.pyd,Filename,Cython binary downloaded by BeaverTail (gjs) for Windows execution; Cython-compiled binary file for Windows; Cython binary downloaded by BeaverTail,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
mod.so,Filename,Cython binary downloaded by BeaverTail (gjs) for macOS execution; Cython-compiled binary file for macOS; Cython binary for macOS used by InvisibleFerret,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
PyInit_mod,Filename,Export table entry in Windows InvisibleFerret binaries,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
/Users/administrator/Pictures/Work/py_module_work/build/temp.macosx-10.13-universal2-cpython-312/mod.o,Filename,Object file path in macOS InvisibleFerret binaries,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
Zlib-compressed string constants,Filename,Embedded in Cython-obfuscated InvisibleFerret binaries,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
mc.so,Filename,Module that deletes execution script after use; Malware module targeting cryptocurrency wallets,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
pad0,Filename,Python script for executing next-stage payloads,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
brw0,Filename,Python script for executing next-stage payloads,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
Chrome (downgraded version),Filename,Downgraded Chrome used to bypass Manifest V3 restrictions,www.trendmicro.com,https://www.trendmicro.com/en_us/research/26/e/analyzing-void-dokkaebi-invisibleferret-malware.html,2026-05-22
